Date,Days,Confirmed,Deaths,Recovered
2020-03-08,0,3,0,0
2020-03-09,1,3,0,0
2020-03-10,2,3,0,0
2020-03-11,3,3,0,0
2020-03-12,4,3,0,0
2020-03-13,5,3,0,0
2020-03-14,6,3,0,0
2020-03-15,7,5,0,0
2020-03-16,8,8,0,0
2020-03-17,9,10,0,0
2020-03-18,10,14,1,3
2020-03-19,11,17,1,3
2020-03-20,12,20,1,3
2020-03-21,13,25,1,3
2020-03-22,14,27,2,3
2020-03-23,15,33,2,3
2020-03-24,16,39,3,5
2020-03-25,17,39,5,7
2020-03-26,18,44,5,11
2020-03-27,19,48,5,11
2020-03-28,20,48,5,15
2020-03-29,21,48,5,15
2020-03-30,22,49,5,19
2020-03-31,23,51,5,25
2020-04-01,24,54,6,26
2020-04-02,25,56,6,26
2020-04-03,26,61,6,26
2020-04-04,27,70,8,30
2020-04-05,28,88,9,30
2020-04-06,29,123,12,33
2020-04-07,30,164,17,33
2020-04-08,31,218,20,33
2020-04-09,32,333,21,33
2020-04-10,33,424,27,33
2020-04-11,34,482,30,36
2020-04-12,35,621,34,39
2020-04-13,36,803,39,42
