Year,Human Population
-10000,4
-10000,6
-10000,4
-10000,5
-10000,20
-10000,1
-10000,10
-9000,4.771755
-8000,7.5
-8000,7.5
-8000,5
-8000,4.5
-8000,6.8763
-7000,10.123016
-6000,15.343109
-5000,5
-5000,23.990147
-5000,5
-5000,5
-5000,20
-4000,7
-4000,37.980147
-4000,7
-4000,7
-3000,14
-3000,60.001421
-3000,14
-2000,27
-2000,96.532816
-2000,27
-2000,27
-1000,50
-1000,154.041053
-1000,50
1,252
1,256
1,270
1,330
1,256
1,300
1,252
1,230.82
1,170
1,170
1,200
100,180
200,257
200,190
300,190
400,190
500,190
600,237
600,237
600,208
600,200
700,210
800,220
900,240
1000,253
1000,280.2
1000,275
1000,345
1000,280
1000,256
1000,253
1000,268.273
1000,265
1000,265
1100,320
1100,320
1200,450
1200,360
1200,400
1200,360
1300,360
1300,360
1300,400
1400,350
1400,375
1400,350
1500,461
1500,427.8
1500,440
1500,540
1500,428
1500,425
1500,461
1500,437.818
1500,425
1600,498
1600,498
1600,545
1600,578
1600,545
1700,679
1700,410
1700,640.8
1700,641
1700,500
1700,610
1700,680
1700,603
1700,603.41
1700,610
1700,610
1700,600
1700,600
1750,770
1750,731
1750,735
1750,805
1750,731
1750,795
1750,728
1750,720
1750,771
1750,728
1750,694
1750,720
1750,760
1750,700
